"filename", "language", "XML", "Markdown", "C#", "Python", "JSON", "ShaderLab", "HLSL", "comment", "blank", "total"
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 0, 0, -243, 0, -4, -71, -318
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 0, 0, -97, 0, 0, -20, -117
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 0, 0, 0, -63, -2, -20, -85
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 0, 0, 0, -122, -2, -34, -158
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 0, 0, 0, -62, -10, -14, -86
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 0, 0, 0, -76, -7, -19, -102
"d:\3. SAP\Moonweaver\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 0, 0, -155, 0, 0, 0, -2, -157
"d:\3. SAP\Moonweaver\Assets\WwiseSettings.xml", "XML", -18, 0, 0, 0, 0, 0, 0, 0, 0, -18
"d:\3. SAP\Moonweaver\Assets\Wwise\API\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\AkPluginActivator.cs", "C#", 0, 0, -958, 0, 0, 0, 0, -19, -159, -1136
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkUnityBuilderBase.cs", "C#", 0, 0, -103, 0, 0, 0, 0, -3, -22, -128
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkUnityPluginInstallerBase.cs", "C#", 0, 0, -312, 0, 0, 0, 0, -11, -62, -385
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Common\AkWwiseIdConverter.cs", "C#", 0, 0, -53, 0, 0, 0, 0, -1, -9, -63
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Mac\AkWwiseMenu_Mac.cs", "C#", 0, 0, -12, 0, 0, 0, 0, 0, -1, -13
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseMenu\Windows\AkWwiseMenu_Windows.cs", "C#", 0, 0, -12, 0, 0, 0, 0, 0, -1, -13
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\AcousticTextureDrawer.cs", "C#", 0, 0, -13, 0, 0, 0, 0, 0, -2, -15
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\AuxBusDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\BankDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\BaseTypeDrawer.cs", "C#", 0, 0, -87, 0, 0, 0, 0, -8, -22, -117
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\EventDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, 0, -8
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\RTPCDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\StateDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\SwitchDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseTypes\TriggerDrawer.cs", "C#", 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseComponentPicker.cs", "C#", 0, 0, -146, 0, 0, 0, 0, -20, -34, -200
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwisePicker.cs", "C#", 0, 0, -190, 0, 0, 0, 0, -5, -38, -233
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseProjectData.cs", "C#", 0, 0, -326, 0, 0, 0, 0, -1, -81, -408
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseProjectInfo.cs", "C#", 0, 0, -116, 0, 0, 0, 0, -8, -17, -141
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeDataSource.cs", "C#", 0, 0, -238, 0, 0, 0, 0, -8, -46, -292
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeProjectDataSource.cs", "C#", 0, 0, -242, 0, 0, 0, 0, -5, -45, -292
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeView.cs", "C#", 0, 0, -830, 0, 0, 0, 0, -12, -130, -972
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeViewItem.cs", "C#", 0, 0, -151, 0, 0, 0, 0, -10, -17, -178
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseTreeWAAPIDataSource.cs", "C#", 0, 0, -621, 0, 0, 0, 0, -24, -98, -743
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseWWUBuilder.cs", "C#", 0, 0, -817, 0, 0, 0, 0, -39, -142, -998
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Editor\WwiseWindows\AkWwiseXMLBuilder.cs", "C#", 0, 0, -158, 0, 0, 0, 0, -6, -20, -184
"d:\3. SAP\Moonweaver\Assets\Wwise\API\LICENSE.md", "Markdown", 0, -8, 0, 0, 0, 0, 0, 0, -3, -11
"d:\3. SAP\Moonweaver\Assets\Wwise\API\README.md", "Markdown", 0, -6, 0, 0, 0, 0, 0, 0, -6, -12
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\AkSoundEngine.extensions.cs", "C#", 0, 0, -76, 0, 0, 0, 0, -7, -18, -101
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\AKRESULT.cs", "C#", 0, 0, -72, 0, 0, 0, 0, -9, -2, -83
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DAudioSinkCapabilities.cs", "C#", 0, 0, -53, 0, 0, 0, 0, -9, -15, -77
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DPositionType.cs", "C#", 0, 0, -7, 0, 0, 0, 0, -9, -2, -18
"d:\3. SAP\Moonweaver\Assets\Wwise\API\Runtime\Generated\Common\Ak3DSpatializationMode.cs", "C#", 0, 0, -7, 0, 0, 0, 0, -9, -2, -18
